origin,colYear,colMonth,prom_arribades
ABE,1988,5,73.0000
ABE,1988,11,26.0000
ABE,1990,12,-5.0000
ABE,1990,1,-4.0000
ABE,1991,7,10.0000
ABE,1992,6,-5.0000
ABE,2005,1,-18.0000
ABE,2006,1,60.0000
ABQ,1987,10,10.0000
ABQ,1989,1,7.0000
ABQ,1990,4,-3.0000
ABQ,1991,1,6.0000
ABQ,1993,11,3.0000
ABQ,1994,1,12.0000
ABQ,1995,8,7.0000
ABQ,1995,9,-5.0000
ABQ,1995,7,-1.0000
ABQ,1995,1,-8.0000
ABQ,1995,9,1.0000
ABQ,1996,7,0.0000
ABQ,1996,1,-1.0000
ABQ,1997,12,14.0000
ABQ,1997,11,-11.0000
ABQ,1997,10,12.0000
ABQ,1997,9,-8.0000
ABQ,1998,3,9.0000
ABQ,1998,8,-2.0000
ABQ,1998,1,-15.0000
ABQ,1998,1,5.0000
ABQ,1999,4,21.0000
ABQ,1999,10,3.0000
ABQ,1999,4,-25.0000
ABQ,2002,7,-12.0000
ABQ,2002,6,89.0000
ABQ,2002,8,35.0000
ABQ,2002,9,-6.0000
ABQ,2003,8,-1.0000
ABQ,2003,2,-27.0000
ABQ,2004,6,8.0000
ABQ,2004,9,-3.0000
ABQ,2005,7,9.0000
ABQ,2006,6,-17.0000
ABQ,2006,1,0.0000
ABQ,2006,7,-1.0000
ABQ,2006,6,50.0000
ABQ,2007,1,-10.0000
ABY,2006,3,17.0000
ABY,2006,1,-8.0000
AGS,1988,12,57.0000
AGS,1988,3,6.0000
AGS,2003,9,-6.0000
ALB,1988,3,-6.0000
ALB,1992,12,-18.0000
ALB,1993,10,0.0000
ALB,1994,10,-11.0000
ALB,2003,3,-4.0000
ALB,2004,10,1.0000
ALB,2007,6,5.0000
ALB,2008,12,15.0000
AMA,1987,11,-2.0000
AMA,1988,6,4.0000
AMA,1989,11,-2.0000
AMA,2000,3,5.0000
ANC,1988,10,-2.0000
ANC,1992,5,12.0000
ANC,1995,10,-8.0000
ANC,1996,11,10.0000
ANC,1999,10,-8.0000
ANC,1999,9,2.0000
ANC,2000,7,3.0000
ANC,2000,1,1.0000
ANC,2000,9,50.0000
ANC,2004,3,24.0000
ANC,2006,5,-2.0000
ANC,2007,7,-7.0000
ANC,2007,4,-21.0000
ANC,2008,8,-28.0000
ASE,2008,3,7.0000
ATL,1987,11,6.0000
ATL,1987,10,18.0000
ATL,1987,11,-11.0000
ATL,1988,9,8.0000
ATL,1988,6,-13.0000
ATL,1988,3,16.0000
ATL,1988,8,-9.0000
ATL,1988,3,9.0000
ATL,1988,12,0.0000
ATL,1988,1,23.0000
ATL,1988,9,-5.0000
ATL,1988,2,-3.0000
ATL,1989,9,-5.0000
ATL,1989,12,100.0000
ATL,1989,12,8.0000
ATL,1989,1,36.0000
ATL,1989,11,11.0000
ATL,1989,2,-2.0000
ATL,1989,1,4.0000
ATL,1989,7,72.0000
ATL,1990,3,44.0000
ATL,1990,12,32.0000
ATL,1990,6,10.0000
ATL,1990,11,6.0000
ATL,1990,10,20.0000
ATL,1990,6,3.0000
ATL,1990,7,-5.0000
ATL,1990,4,-9.0000
ATL,1991,4,-6.0000
ATL,1991,10,15.0000
ATL,1991,10,12.0000
ATL,1991,9,8.0000
ATL,1991,5,2.0000
ATL,1991,2,-11.0000
ATL,1991,4,0.0000
ATL,1991,8,1.0000
ATL,1991,1,-3.0000
ATL,1992,2,43.0000
ATL,1992,9,0.0000
ATL,1992,9,-10.0000
ATL,1992,8,15.0000
ATL,1992,4,-4.0000
ATL,1992,11,-14.0000
ATL,1992,5,-2.0000
ATL,1992,7,-7.0000
ATL,1992,12,-1.0000
ATL,1992,2,2.0000
ATL,1993,8,-2.0000
ATL,1993,11,0.0000
ATL,1993,11,-16.0000
ATL,1993,12,9.0000
ATL,1993,11,-8.0000
ATL,1993,8,26.0000
ATL,1993,6,-3.0000
ATL,1993,4,6.0000
ATL,1993,8,5.0000
ATL,1993,10,-2.0000
ATL,1993,8,-9.0000
ATL,1993,6,-5.0000
ATL,1994,1,8.0000
ATL,1994,7,31.0000
ATL,1994,9,0.0000
ATL,1994,12,23.0000
ATL,1994,10,1.0000
ATL,1994,8,-10.0000
ATL,1994,6,17.0000
ATL,1994,9,6.0000
ATL,1994,3,53.0000
ATL,1994,8,2.0000
ATL,1994,3,21.0000
ATL,1994,11,-4.0000
ATL,1994,8,24.0000
ATL,1995,8,7.0000
ATL,1995,4,-11.0000
ATL,1995,10,21.0000
ATL,1995,5,-1.0000
ATL,1995,3,1.0000
ATL,1995,3,15.0000
ATL,1995,8,6.0000
ATL,1996,6,5.0000
ATL,1996,1,15.0000
ATL,1996,5,-10.0000
ATL,1996,6,26.0000
ATL,1996,6,44.0000
ATL,1996,10,7.0000
ATL,1996,11,4.0000
ATL,1997,1,9.0000
ATL,1997,7,11.0000
ATL,1997,1,1.0000
ATL,1997,1,-4.0000
ATL,1997,7,11.0000
ATL,1997,4,12.0000
ATL,1997,2,-9.0000
ATL,1997,4,6.0000
ATL,1997,3,4.0000
ATL,1997,3,-9.0000
ATL,1997,3,-16.0000
ATL,1997,10,-24.0000
ATL,1997,5,7.0000
ATL,1998,5,-11.0000
ATL,1998,9,-7.0000
ATL,1998,9,-13.0000
ATL,1998,9,-22.0000
ATL,1999,8,35.0000
ATL,1999,2,-4.0000
ATL,1999,12,3.0000
ATL,1999,8,11.0000
ATL,1999,1,5.0000
ATL,1999,1,-1.0000
ATL,1999,2,-7.0000
ATL,1999,1,13.0000
ATL,1999,2,23.0000
ATL,1999,8,0.0000
ATL,1999,9,-5.0000
ATL,1999,5,59.0000
ATL,1999,8,0.0000
ATL,1999,12,-5.0000
ATL,1999,6,23.0000
ATL,1999,3,0.0000
ATL,1999,6,16.0000
ATL,1999,5,0.0000
ATL,1999,2,-1.0000
ATL,2000,1,-9.0000
ATL,2000,3,37.0000
ATL,2000,5,3.0000
ATL,2000,7,13.0000
ATL,2000,10,4.0000
ATL,2000,3,30.0000
ATL,2000,1,5.0000
ATL,2000,11,-7.0000
ATL,2000,2,-2.0000
ATL,2000,10,3.0000
ATL,2000,4,37.0000
ATL,2001,2,-20.0000
ATL,2001,2,-4.0000
ATL,2001,3,8.0000
ATL,2001,7,49.0000
ATL,2001,6,1.0000
ATL,2001,5,-12.0000
ATL,2002,12,-14.0000
ATL,2002,5,15.0000
ATL,2002,12,-12.0000
ATL,2002,9,0.0000
ATL,2002,8,-3.0000
ATL,2002,9,-6.0000
ATL,2002,10,84.0000
ATL,2002,7,12.0000
ATL,2002,12,-24.0000
ATL,2002,10,-11.0000
ATL,2002,4,29.0000
ATL,2003,6,-4.0000
ATL,2003,7,-3.0000
ATL,2003,7,40.0000
ATL,2003,5,16.0000
ATL,2003,3,2.0000
ATL,2003,3,57.0000
ATL,2003,6,-13.0000
ATL,2003,10,9.0000
ATL,2003,8,-1.0000
ATL,2003,6,-2.0000
ATL,2003,3,17.0000
ATL,2003,1,-5.0000
ATL,2003,2,-2.0000
ATL,2004,5,-8.0000
ATL,2004,6,60.0000
ATL,2004,2,46.0000
ATL,2004,5,21.0000
ATL,2004,2,8.0000
ATL,2004,10,52.0000
ATL,2004,3,8.0000
ATL,2004,8,9.0000
ATL,2004,7,5.0000
ATL,2004,1,4.0000
ATL,2004,7,-15.0000
ATL,2004,6,16.0000
ATL,2004,5,41.0000
ATL,2005,2,1.0000
ATL,2005,6,-6.0000
ATL,2005,7,-3.0000
ATL,2005,7,-13.0000
ATL,2005,5,-3.0000
ATL,2005,3,91.0000
ATL,2005,9,-19.0000
ATL,2005,5,4.0000
ATL,2005,12,10.0000
ATL,2005,2,1.0000
ATL,2005,9,-7.0000
ATL,2005,7,23.0000
ATL,2005,3,10.0000
ATL,2005,11,3.0000
ATL,2005,9,-7.0000
ATL,2005,6,43.0000
ATL,2005,5,-13.0000
ATL,2005,8,96.0000
ATL,2005,5,3.0000
ATL,2005,10,-5.0000
ATL,2005,8,28.0000
ATL,2005,10,10.0000
ATL,2005,11,-7.0000
ATL,2006,11,18.0000
ATL,2006,2,1.0000
ATL,2006,11,4.0000
ATL,2006,8,9.0000
ATL,2006,10,-6.0000
ATL,2006,8,-10.0000
ATL,2006,7,-6.0000
ATL,2006,5,16.0000
ATL,2006,12,-2.0000
ATL,2006,7,25.0000
ATL,2006,9,-5.0000
ATL,2006,2,81.0000
ATL,2006,8,15.0000
ATL,2006,8,9.0000
ATL,2006,4,-7.0000
ATL,2006,8,55.0000
ATL,2006,4,17.0000
ATL,2006,7,9.0000
ATL,2007,11,33.0000
ATL,2007,12,115.0000
ATL,2007,10,-4.0000
ATL,2007,1,39.0000
ATL,2007,6,5.0000
ATL,2007,12,-6.0000
ATL,2007,5,11.0000
ATL,2007,6,29.0000
ATL,2007,10,13.0000
ATL,2007,9,41.0000
ATL,2007,4,25.0000
ATL,2007,7,1.0000
ATL,2007,3,7.0000
ATL,2007,3,2.0000
ATL,2007,3,117.0000
ATL,2007,2,4.0000
ATL,2007,8,86.0000
ATL,2007,6,67.0000
ATL,2007,4,-12.0000
ATL,2007,6,-3.0000
ATL,2007,1,12.0000
ATL,2008,5,-8.0000
ATL,2008,3,-21.0000
ATL,2008,3,-16.0000
ATL,2008,9,-16.0000
ATL,2008,2,-23.0000
ATL,2008,9,4.0000
ATL,2008,5,-5.0000
